ID навыка;Навык;Область
S0001;Монтаж;Общие
S0002;Демонтаж;Общие
S0003;Пусконаладка;Общие
S0004;Диагностика;Общие
S0005;Измерения;Общие
S0006;Документирование;Общие
S0007;Работа на высоте;Общие
S0008;Работа в колодце;Общие
S0009;Электробезопасность;Общие
S0010;Согласование с заказчиком;Общие
S0011;Электромонтаж;Электромонтаж
S0012;Оптика;Оптика и GPON
S0013;Медная линия;Медь и xDSL
S0014;СКС;СКС и ЛВС
S0015;Wi-Fi;Wi-Fi
S0016;Маршрутизация;Маршрутизация и VPN
S0017;Коммутация;Коммутация
S0018;Телефония;VoIP и АТС
S0019;Видеонаблюдение;Видеонаблюдение
S0020;СКУД;СКУД и домофония
S0021;Радиосвязь;Радио и базовые станции
S0022;Питание площадки;ИБП и питание площадки
S0023;Абонентское оборудование;Клиентское оборудование
S0024;Кабельная канализация;Кабельная канализация
S0025;Оборудование стоек;ЦОД и стойки
S0026;Аварийные работы;Аварии и восстановление
S0027;Заземление;Заземление и молниезащита
S0028;Охлаждение;Кондиционирование серверных
S0029;Пожарная сигнализация;Пожарная сигнализация
S0030;Слаботочные системы;Слаботочные системы
