sep=;
ID заявки;Название задачи;Адрес;Широта;Долгота;Длительность, мин;Начало окна;Конец окна;Приоритет;Число навыков;Навыки;Требуемый транспорт
J001;Кроссировка: щиток связи;Москва, Волоколамское шоссе, д. 71/18;55.817115;37.43455;42;15:25;17:24;Обычная;1;Медная линия;
J002;Монтаж: дымовой извещатель;Москва, улица Удальцова, д. 61 с1;55.676224;37.502799;23;13:50;16:29;Обычная;1;Пожарная сигнализация;
J003;Монтаж: антенна точки доступа;Москва, Планерная улица, д. 7;55.862588;37.435366;38;10:58;13:53;Обычная;1;Wi-Fi;Автомобиль
J004;Герметизация: IP-камера уличная;Москва, Волгоградский проспект, д. 117 к1;55.706207;37.763752;42;14:03;16:07;Обычная;1;Видеонаблюдение;
J005;Замена: щиток связи;Москва, Уланский переулок, д. 11 с1;55.768411;37.637687;33;08:38;11:10;Обычная;1;Медная линия;
J006;Установка: щит вентиляции;Москва, Садовая-Черногрязская улица, д. 4 с20;55.767083;37.650172;32;13:50;15:59;Обычная;1;Электромонтаж;
J007;Измерение: мачта на кровле;Москва, улица Сергия Радонежского, д. 15-17 с17;55.747674;37.678813;46;10:40;13:28;Обычная;2;Радиосвязь, Измерения;
J008;Диагностика «нет интернета»;Москва, улица Адмирала Макарова, д. 43 с6;55.838558;37.486077;61;11:49;15:09;Обычная;2;Абонентское оборудование, Диагностика;
J009;Замена: коммутатор у клиента;Москва, Тверская улица, д. 12 с8;55.764;37.609812;62;15:31;18:52;Обычная;2;Абонентское оборудование, Монтаж;
J010;Разварка кросса в серверной;Москва, Киевская улица, д. 25;55.739962;37.551907;103;14:50;18:50;Обычная;3;Оптика, Монтаж, Документирование;
J011;Монтаж: распредкоробка;Москва, Уральская улица, д. 1 c2;55.811119;37.797553;104;08:46;13:25;Обычная;3;Медная линия, Монтаж, Документирование;
